means	Presynaptic Neuron	Postsynaptic Neuron	g	tau_d	tau_r	tau_f	U
0	DG Semilunar Granule (+)2311p	DG Granule (+)2201p	1.768985735	6.01872939	359.8029853	20.96068186	0.245577374
1	DG Mossy (+)0103	DG Granule (+)2201p	2.394273388	5.357017163	166.1624932	20.22414499	0.304520719
2	DG Mossy MOLDEN (+)2323	DG Granule (+)2201p	2.382244215	5.346721399	165.7152689	20.70079975	0.305510775
3	CA3c Pyramidal (+)03223p	DG Granule (+)2201p	2.353846076	5.90960469	218.5042823	6.484930664	0.264410373
4	MEC LV Pyramidal (+)331131p	DG Granule (+)2201p	2.033468264	5.762424566	328.7596053	12.70279638	0.277991967
5	MEC LII Stellate (+)331111p	DG Granule (+)2201p	1.824629341	5.333183152	266.2388325	18.71381627	0.269729804
6	EC LI-II Pyramidal-Fan (+)331000p	DG Granule (+)2201p	1.957759388	5.770742282	353.9467523	14.16292251	0.267978636
7	EC LII-III Pyramidal-Tripolar (+)333000p	DG Granule (+)2201p	1.93643454	5.488387025	506.0953818	12.89978879	0.256591227
8	EC LIV-V Pyramidal-Horizontal (+)220233p	DG Granule (+)2201p	1.966568008	5.432487142	336.9277967	15.39234544	0.275841293
9	DG Axo-Axonic (-)2233	DG Granule (+)2201p	3.993398634	4.275954375	532.2251779	7.207859274	0.302243658
10	DG Basket (-)2232	DG Granule (+)2201p	2.450937388	6.543457785	433.8757913	6.347428119	0.331971356
11	DG Basket CCK+ (-)2232	DG Granule (+)2201p	1.325092735	9.162057501	720.4611399	7.799352565	0.290305224
12	DG Total Molecular Layer (-)3303	DG Granule (+)2201p	2.216534734	7.018591199	503.2033197	7.927759421	0.262620367
13	DG MOLAX (-)3302	DG Granule (+)2201p	2.102025852	7.469724475	514.7787724	7.99390093	0.26799791
14	DG Outer Molecular Layer (-)3222	DG Granule (+)2201p	2.166960295	7.521415727	512.033172	7.514810411	0.274182758
15	DG HICAP (-)2322	DG Granule (+)2201p	1.219865412	10.22396675	937.2721327	11.64263903	0.184814269
16	DG Neurogliaform (-)3000p	DG Granule (+)2201p	1.761263201	9.180416166	549.4105463	8.926071111	0.264593234
17	DG MOPP (-)3000	DG Granule (+)2201p	1.618626321	9.534794655	547.3600309	9.324417377	0.262018884
18	DG HIPP (-)1002	DG Granule (+)2201p	2.002001302	8.934875974	559.1427569	8.395942223	0.278137043
19	DG HIPROM (-)1333p	DG Granule (+)2201p	2.099317371	7.968385576	515.7601542	9.109818097	0.273153735
20	DG AIPRIM (-)2333	DG Granule (+)2201p	2.83011009	6.81760764	407.9945085	8.016476277	0.265672129
21	DG MOCAP (-)0331	DG Granule (+)2201p	2.109485698	7.568740229	530.0170644	8.647244083	0.271584093
22	CA3 Spiny Lucidum (-)01320p	DG Granule (+)2201p	2.249825793	8.029464678	527.9971587	7.734323043	0.267764005
23	CA1 LMR Projecting (-)3300p	DG Granule (+)2201p	2.205683575	7.318448703	501.3206276	7.996128678	0.260346931
24	CA1 Perforant Path-Associated (-)3200p	DG Granule (+)2201p	2.480455441	6.956708322	490.090046	7.972835936	0.2647794
25	CA1 Neurogliaform Projecting (-)3000p	DG Granule (+)2201p	1.84808477	8.770529532	487.1478944	9.41749183	0.265354978
26	DG Semilunar Granule (+)2311p	DG Semilunar Granule (+)2311p	1.671338318	5.172445371	389.3454255	67.28323507	0.196077468
27	DG Mossy (+)0103	DG Semilunar Granule (+)2311p	1.862395007	4.522053429	229.9712546	72.28862059	0.236358072
28	DG Mossy MOLDEN (+)2323	DG Semilunar Granule (+)2311p	1.846708559	4.496627249	229.8118824	71.94781877	0.23595311
29	CA3c Pyramidal (+)03223p	DG Semilunar Granule (+)2311p	1.662213604	4.939487125	318.1121783	35.61607658	0.204487545
